colors
"[""york harbor yellow"", ""spring thaw"", ""urobilin"", ""puritan gray"", ""dusty orange"", ""florida beaches"", ""capri coast"", ""philippine gray"", ""armadillo"", ""meadowland"", ""tamarind tree"", ""newborn pink"", ""deep cherrywood"", ""quilt gold"", ""bryan ochre"", ""pablo"", ""nature trail"", ""autumn leaves"", ""bitter chocolate"", ""hit grey""]"
"[""lakeshore green"", ""pink red"", ""saddle"", ""blue bayoux"", ""french sky blue"", ""daylight lilac"", ""egg white"", ""light brilliant red"", ""gallery buff"", ""flirt"", ""coral red"", ""clay red"", ""tia maria"", ""blush beige"", ""candy cane red"", ""white hydrangea"", ""folk guitar"", ""shimmering lime"", ""brownberry"", ""cotton grey""]"
"[""afternoon"", ""angel blush"", ""baltimore sky"", ""ocean foam"", ""sienna"", ""aqua pura"", ""collingwood"", ""perennial"", ""tofino sunset"", ""valley hills"", ""faded yellow"", ""pink ladies"", ""natural choice"", ""june bud"", ""harbor"", ""lemon drops"", ""little bow pink"", ""after rain"", ""verve violet"", ""portica""]"
"[""seabrook"", ""mountain laurel"", ""angel food"", ""universal black"", ""french taupe"", ""pixie green"", ""coral dust"", ""deep mauve"", ""milk thistle"", ""treasure map"", ""moccaccino"", ""french lime"", ""rivers edge"", ""smoky black"", ""dusty road"", ""lagoon moss"", ""faded orange"", ""north hampton beige"", ""angel pink"", ""deserted island""]"
"[""bronze"", ""sandblast"", ""mandys pink"", ""copper patina"", ""sweet truffle"", ""olive"", ""vineland"", ""green suede"", ""new amber"", ""easter purple"", ""hopbush"", ""amphibian"", ""northern lights"", ""blue willow"", ""french chateau"", ""pecos spice"", ""toile red"", ""yellow orange"", ""kimberly"", ""budding green""]"
"[""clam"", ""new london burgundy"", ""richmond gold"", ""mellow coral"", ""marlboro blue"", ""new violet"", ""shocking pink"", ""zaffre"", ""la rioja"", ""azul pavo real"", ""so much fawn"", ""jovial"", ""reverie pink"", ""sensible hue"", ""strawberry mousse"", ""everard gold"", ""compass"", ""tea"", ""biltmore buff"", ""lemon grove""]"
"[""snow day"", ""honeysuckle"", ""fancy pink"", ""ashes"", ""fireflies"", ""fossil butte"", ""sheraton sage"", ""canary yellow"", ""ginger tea"", ""blue bird day"", ""blackberry wine"", ""calm water"", ""whip lash"", ""hibiscus petal"", ""coastal paradise"", ""arbol de tamarindo"", ""ashmead gray"", ""deep lemon"", ""velvet cloak"", ""pale light green""]"
"[""woodland hills green"", ""papaya sorbet"", ""eros pink"", ""terra sol"", ""iron mountain"", ""ice plant"", ""light yellow green"", ""alfalfa extract"", ""turquoise surf"", ""the real teal"", ""summer plum"", ""aqua waters"", ""hazel"", ""harvest time"", ""blushing brilliance"", ""durango"", ""eastern amber"", ""newburg green"", ""monet"", ""capilano bridge""]"
"[""redbud"", ""magic mint"", ""wild bamboo"", ""soulmate"", ""olive moss"", ""interdimensional blue"", ""classic light buff"", ""mineral red"", ""spring morn"", ""rock spray"", ""english walnut"", ""haze"", ""heather field"", ""creamy orange"", ""pelican beach"", ""bleached almond"", ""cran brook"", ""buccaneer"", ""mystic maroon"", ""perano""]"
"[""alaskan skies"", ""alligator skin"", ""falling leaves"", ""amazon"", ""nebula"", ""chameleon"", ""creamy nougat"", ""my fair lady"", ""stone hearth"", ""garbanzo paste"", ""pink ruffle"", ""aqua breeze"", ""star spangled"", ""bristle grass"", ""fine burgundy"", ""corn harvest"", ""maya blue"", ""cypress grove"", ""lemon souffle"", ""glenwood brown""]"
"[""passion vine"", ""pale cerulean"", ""statuesque"", ""tinted ice"", ""orion gray"", ""flattery"", ""grandis"", ""green mallard"", ""light navy"", ""refreshed"", ""misty moss"", ""kiss good night"", ""teal stencil"", ""almondine"", ""lochmara"", ""congo pink"", ""oxford"", ""white bean hummus"", ""encaje aperlado"", ""jonquil""]"
"[""orange sky"", ""hippie blue"", ""field drab"", ""emerald lake"", ""arabian sands"", ""azurean"", ""running water"", ""jackfruit"", ""chayote"", ""fallen leaf"", ""purple lotus"", ""aqua squeeze"", ""midsummer"", ""hot cakes"", ""bunker"", ""ebony clay"", ""quartersawn oak"", ""cumin"", ""sugarcane"", ""frittata""]"
"[""brook green"", ""antique jade"", ""jungle green"", ""bella vista"", ""frostee"", ""farmhouse red"", ""rust red"", ""colonial white"", ""flexible gray"", ""slate tile"", ""north shore green"", ""jazzberry jam"", ""gris perla"", ""log cabin"", ""pale almond"", ""glacial till"", ""blue luxury"", ""infamous"", ""granite peak"", ""midnight moss""]"
"[""new hope gray"", ""cream froth"", ""liveable green"", ""outback brown"", ""mossy gold"", ""knitting basket"", ""yellow gold"", ""strikemaster"", ""candy floss"", ""summer mist"", ""viva gold"", ""foxy"", ""exotic lime"", ""mosaic tile"", ""heirloom apricot"", ""evening dove"", ""blue gem"", ""floating blue"", ""honey nougat"", ""offshore mist""]"
"[""nut brown"", ""white duck"", ""chicago"", ""blue stone"", ""spiced potpourri"", ""glacier blue"", ""poncho"", ""tarragon tease"", ""maplewood"", ""smokey ash"", ""through the looking glass"", ""prentis cream"", ""fanfare"", ""scuba green"", ""honey beige"", ""violetta"", ""maple shadows"", ""fading twilight"", ""natural twine"", ""black forest""]"
"[""woodland white"", ""baltic sea"", ""amour"", ""platinum"", ""bon jour"", ""tropical tide"", ""breezeway"", ""rolling pebble"", ""mountain hideaway"", ""convivial yellow"", ""arrowtown"", ""sonic silver"", ""country comfort"", ""cherry wine"", ""laurel garland"", ""waynesboro taupe"", ""chantilly lace"", ""fjord"", ""reticence"", ""light grass green""]"
"[""smoky green"", ""lagoon rock"", ""appalachian spring"", ""brevity brown"", ""aventurine"", ""apple green"", ""blue refrain"", ""midnight navy"", ""hibiscus punch"", ""outback"", ""deep blush"", ""toffee bar"", ""designer white"", ""india green"", ""flamingo dream"", ""tea party"", ""cloak gray"", ""soft amber"", ""van cleef"", ""cardamom spice""]"
"[""valley forge brown"", ""icy blue"", ""daydream"", ""paparazzi flash"", ""clean green"", ""oxblood"", ""oak grove"", ""bridal bouquet"", ""sandlot gray"", ""geranium bud"", ""daring indigo"", ""hopeful blue"", ""sheer apricot"", ""white vanilla"", ""manuscript"", ""decadence"", ""can can"", ""sonoma clay"", ""beacon blue"", ""black haze""]"
"[""tribeca"", ""fussy pink"", ""appletini"", ""royal orange"", ""night blooming jasmine"", ""rooftop garden"", ""clear sailing"", ""white beet"", ""pancake syrup"", ""light steel blue"", ""portuguese dawn"", ""blue jeans"", ""bleu de france"", ""satire"", ""peony pink"", ""ovation"", ""cherrywood"", ""tea chest"", ""deep terra cotta"", ""english hyacinth""]"
"[""mexican sand"", ""bird of paradise"", ""spanish blue"", ""pelican gray"", ""boysenberry"", ""red salsa"", ""dash of oregano"", ""dard hunter green"", ""blazing orange"", ""kept love letters"", ""night flight"", ""victorian"", ""wish"", ""victoria"", ""iceberg"", ""lightish purple"", ""wispy green"", ""chocolate curl"", ""charcoal grey"", ""rich blue""]"
"[""japanese kimono"", ""hep green"", ""fantasy blue"", ""caramel latte"", ""green thumb"", ""simple silhouette"", ""jade garden"", ""timeless lilac"", ""utterly beige"", ""stinger"", ""monorail silver"", ""ground fog"", ""green papaya"", ""bole"", ""ballet slippers"", ""fuzzy peach"", ""soft bronze"", ""light coral"", ""dark pink"", ""creole""]"
"[""seaside villa"", ""glacial tint"", ""cabana blue"", ""cyan azure"", ""cornerstone"", ""instinct"", ""indian summer"", ""diverse beige"", ""sassy green"", ""azul tequila"", ""cable knit"", ""jubilee"", ""lawn party"", ""crushed oregano"", ""goldenrod tea"", ""wild cranberry"", ""slippery shale"", ""florida keys blue"", ""lucky clover"", ""cool breeze""]"
"[""precious ivory"", ""hot spice"", ""sea of green"", ""serene sky"", ""iced mint"", ""unusual gray"", ""butterfly kisses"", ""deep emerald"", ""blue cotton"", ""havana tan"", ""honeydew"", ""rojo candela"", ""camo green"", ""gilded"", ""woodacres"", ""curio gray"", ""valley mist"", ""christmas red"", ""poppy flower"", ""chocolate coco""]"
"[""breaker"", ""snow cone green"", ""navy blue"", ""royal pink"", ""very dark green"", ""meadow view"", ""yale blue"", ""templeton gray"", ""wheeling neutral"", ""gentle breeze"", ""royal liqueur"", ""lighter green"", ""soft cranberry"", ""handmade"", ""cool white"", ""quiet teal"", ""etched glass"", ""emerald isle"", ""deep magenta"", ""spanish carmine""]"
"[""landmark brown"", ""invigorate"", ""classic sand"", ""chicory root"", ""beachwalk"", ""carter red"", ""sea of tranquility"", ""fine china"", ""terra cotta urn"", ""aria ivory"", ""modern romance"", ""cheese puff"", ""rose chintz"", ""parachute silk"", ""cabbage rose"", ""silverplate"", ""mardi gras gold"", ""guava juice"", ""gaiety"", ""bright red""]"
"[""rookwood antique gold"", ""bricktone"", ""shy cherry"", ""weathered moss"", ""quietude"", ""pageant song"", ""bittersweet"", ""peach mousse"", ""banana"", ""lavender"", ""fiery opal"", ""regal view"", ""alabaster"", ""citra lime"", ""moccasin"", ""heavy metal"", ""wondrous blue"", ""eden"", ""colonial brick"", ""lake placid""]"
"[""pink lady"", ""blackcurrant"", ""vogue green"", ""fiesta yellow"", ""edgy red"", ""inner glow"", ""brown green"", ""hawaiian breeze"", ""bold blue"", ""french court"", ""medium electric blue"", ""secluded woods"", ""satin black"", ""bewitching blue"", ""spun cotton"", ""coral spice"", ""eunry"", ""medici ivory"", ""country lane"", ""sporty blue""]"
"[""sanderling"", ""rose glow"", ""japanese laurel"", ""brown derby"", ""mount etna"", ""cambridge heights"", ""elegant white"", ""outgoing orange"", ""lady guinevere"", ""bruton white"", ""sugar berry"", ""castle peak gray"", ""peale green"", ""library leather"", ""burgess green"", ""daisy field"", ""pacific pine"", ""party peach"", ""dandelion tea"", ""rusty red""]"
"[""flat blue"", ""harvester"", ""karry"", ""maximum green"", ""viola"", ""bright lilac"", ""colonial rose"", ""sea green"", ""proposal"", ""snot"", ""genesis white"", ""blue grass"", ""sable"", ""teal ice"", ""casper"", ""high park"", ""crystal gem"", ""red gerbera"", ""golden sand"", ""grand canyon red""]"
"[""bubble turquoise"", ""milk and honey"", ""barney"", ""white smoke"", ""black forest green"", ""resort sunrise"", ""sweet bianca"", ""boat house"", ""light cobalt blue"", ""green smoke"", ""gray squirrel"", ""lemon pearl"", ""trusty tan"", ""meander blue"", ""grecian gold"", ""caramel corn"", ""ancient root"", ""jardin"", ""mission wildflower"", ""sterling""]"
"[""cornflower"", ""willow hedge"", ""accessible beige"", ""coy pink"", ""essex green"", ""light apricot"", ""middle yellow"", ""steely gray"", ""cookie"", ""provence"", ""million dollar red"", ""southfield green"", ""blue sarong"", ""green lizard"", ""florence brown"", ""rocky beach"", ""cinnamon cake"", ""tulsa twilight"", ""feng shui"", ""dark candy apple red""]"
"[""coastal vista"", ""james river gray"", ""office green"", ""cut the mustard"", ""russian blue"", ""topiary tint"", ""riviera paradise"", ""cigar"", ""precious pink"", ""carissma"", ""wood grain brown"", ""solid pink"", ""velvet slipper"", ""envy"", ""windsor"", ""atrium white"", ""maximum mocha"", ""purple prince"", ""web gray"", ""enticing red""]"
"[""thyme green"", ""champagne flute"", ""medieval wine"", ""celeb city"", ""down pour"", ""purple haze"", ""dusty lilac"", ""bone"", ""old country"", ""summer jasmine"", ""silk elegance"", ""pocket watch"", ""darkgreen"", ""harbor side blue"", ""red cent"", ""intellectual gray"", ""perfect sky"", ""bright moon"", ""au chico"", ""cantaloupe""]"
"[""harp"", ""chic lime"", ""silk lining"", ""lilac hush"", ""marina isle"", ""penny"", ""olympus white"", ""spiced plum"", ""vaporize"", ""french castle"", ""rolling hill green"", ""raspberry parfait"", ""dark cherry mocha"", ""cajun red"", ""spring bouquet"", ""dried leaf"", ""bridal heath"", ""burnt terra"", ""desert willow"", ""evening in paris""]"
"[""air blue"", ""old prairie"", ""blumine"", ""slate blue"", ""carob"", ""robins egg blue"", ""green trellis"", ""good vibrations"", ""cookie dough"", ""casablanca"", ""candlelit dinner"", ""ancestry violet"", ""chimayo red"", ""givry"", ""heritage"", ""aloe"", ""north cascades"", ""vibrant blush"", ""dark charcoal"", ""toast""]"
"[""natural brown"", ""ceil"", ""luminous days"", ""diamond"", ""danville tan"", ""nantucket gray"", ""china cup"", ""cactus blooms"", ""light orange"", ""yogi"", ""watercolor"", ""desert moss"", ""clearest ocean blue"", ""positive energy"", ""seafoam blue"", ""rose wine"", ""berries and cream"", ""white mountains"", ""orange creamsicle"", ""freesia purple""]"
"[""dark royal blue"", ""new cream"", ""strathmore manor"", ""practical beige"", ""blackberry harvest"", ""shilo"", ""elderberry wine"", ""aegean teal"", ""santas grey"", ""ultramarine blue"", ""cottonseed"", ""lavender wash"", ""red berry"", ""april showers"", ""mystic beige"", ""pasha brown"", ""pinky purple"", ""waterspout"", ""thatch brown"", ""pressed blossoms""]"
"[""vivid gamboge"", ""comfy beige"", ""coral island"", ""rhythmic blue"", ""rosy tan"", ""maharaja"", ""nostalgic evening"", ""lakeview"", ""bronco"", ""chilly blue"", ""night club"", ""halloween orange"", ""tyrian purple"", ""coco rum"", ""shanghai jade"", ""unmarked trail"", ""dark midnight blue"", ""broken arrow"", ""melting icicles"", ""homestead""]"
"[""imagine"", ""ruby shade"", ""pistachio"", ""peak point"", ""ablaze"", ""shenandoah taupe"", ""florida seashells"", ""sentimental"", ""dhurrie beige"", ""pinkish"", ""pig pink"", ""light hot pink"", ""commodore"", ""blue cascade"", ""undercool"", ""salomie"", ""pumice stone"", ""ugly blue"", ""glaze white"", ""north star""]"
"[""eggshell blue"", ""lady finger"", ""biscotti"", ""pink flare"", ""whispering spring"", ""morning fog"", ""earth brown"", ""bonsai pot"", ""paradise hills green"", ""dark fuchsia"", ""funhouse"", ""cream custard"", ""rattan"", ""knockout orange"", ""daintree"", ""harbor haze"", ""reddish"", ""geyser"", ""ghost white"", ""poinsettia""]"
"[""suede leather"", ""subtle"", ""merino"", ""mohair"", ""wheat penny"", ""poseidon"", ""wheatberry"", ""savannah clay"", ""harbor highlands tan"", ""norwich brown"", ""bayberry blue"", ""celestial light"", ""boulder"", ""woodcraft"", ""hummingbird green"", ""tropical orange"", ""yellow clover"", ""phoenix sand"", ""sporting green"", ""traffic light green""]"
"[""amherst gray"", ""imperial"", ""cinnamon satin"", ""refresh"", ""silver"", ""coal mine"", ""sandy clay"", ""floral linen"", ""practical tan"", ""belvedere cream"", ""parsley snips"", ""pink blossom"", ""rookwood clay"", ""reddish brown"", ""el cajon clay"", ""wythe tan"", ""hint of violet"", ""palais white"", ""mission brown"", ""fruit punch""]"
"[""putty"", ""green cast"", ""tapestry"", ""egyptian nile"", ""azores"", ""tasty apple"", ""silvery moon"", ""elusive blue"", ""private black"", ""medium terracotta"", ""chablis"", ""egret white"", ""oregon trail"", ""orange appeal"", ""electric violet"", ""abbey brown"", ""stonecutter"", ""cerise pink"", ""butterfield"", ""vivid orange""]"
"[""washed out green"", ""mediterranean olive"", ""escapade gold"", ""lichen"", ""standing ovation"", ""strong blue"", ""laurel"", ""labrador blue"", ""quarter pearl lusta"", ""soft shell"", ""mineral yellow"", ""cultured"", ""berry crush"", ""harmonious gold"", ""crownsville gray"", ""cappuccino froth"", ""light granite"", ""mojave gold"", ""stormcloud"", ""cadmium red""]"
"[""boulder creek"", ""basil green"", ""amethyst"", ""first snowfall"", ""dune white"", ""vapor trails"", ""hearts delight"", ""gingerbread man"", ""deep pink"", ""oyster"", ""antique ruby"", ""coffeehouse tan"", ""coveted gem"", ""energetic pink"", ""silver city"", ""dull blue"", ""green sprout"", ""aruba aqua"", ""swirl"", ""iced coffee""]"
"[""rhumba orange"", ""desert storm"", ""polished stone"", ""roxbury caramel"", ""bahia grass"", ""ocean spray"", ""stizza"", ""cobrizo"", ""greenish cyan"", ""melon sorbet"", ""townhouse tan"", ""grey nickel"", ""acid green"", ""teton blue"", ""mystical shade"", ""humorous green"", ""authentic pink"", ""razzle dazzle rose"", ""oil"", ""spring sprig""]"
"[""polished leather"", ""modish moss"", ""cherries jubilee"", ""majorelle blue"", ""luscious purple"", ""bright sun"", ""bistro"", ""spinning silk"", ""sugar sweet"", ""houseplant"", ""bright ube"", ""rose taupe"", ""dior gray"", ""purple red"", ""rolling stone"", ""highball"", ""winter lake"", ""adonis"", ""hay stack"", ""deer trail""]"
"[""fashion gray"", ""adriatic mist"", ""coastal storm"", ""mona lisa"", ""hydrangea bouquet"", ""york gray"", ""foam green"", ""ancient marble"", ""norwester"", ""honey burst"", ""cameo white"", ""shale"", ""pewter green"", ""bracken biscuit"", ""cactus green"", ""traditional blue"", ""timeless ruby"", ""salmon creek"", ""caribbean azure"", ""thai basil""]"
"[""tibetan sky"", ""graystone"", ""silver peony"", ""dogue gray"", ""antiqued aqua"", ""ostrich"", ""coral bells"", ""jalapeno"", ""mystic"", ""dainty lace"", ""desert sand"", ""opium"", ""cream silk"", ""green essence"", ""sweet lavender"", ""outdoor cafe"", ""teal wave"", ""caramelized orange"", ""soulful blue"", ""bermuda""]"
"[""amber brew"", ""butter cookie"", ""california stucco"", ""grass cloth"", ""french heirloom"", ""sea foam green"", ""spring in aspen"", ""whipple blue"", ""french puce"", ""slime green"", ""rose red"", ""dried chervil"", ""black sable"", ""come sail away"", ""hidden falls"", ""yellow sea"", ""bluish grey"", ""caper"", ""grape fizz"", ""vanity pink""]"
