colors
"[""raw copper"", ""natural wicker"", ""flamingo feather"", ""punga"", ""glacier bay"", ""xoxo"", ""totem pole"", ""light pink"", ""blue sapphire"", ""cucumber salad"", ""meadow pink"", ""scotch lassie"", ""seersucker suit"", ""westcott navy"", ""reboot"", ""biloxi"", ""metallic blue"", ""festival green"", ""yankees blue"", ""light of the moon""]"
"[""cosmic"", ""craft brown"", ""snowfall white"", ""cotswold"", ""san pedro morning"", ""be mine"", ""take five"", ""fortune red"", ""caribe green"", ""creamy custard"", ""mongoose"", ""irises"", ""mountain haze"", ""asford greige"", ""middle yellow red"", ""tahitian sky"", ""pale sunshine"", ""atlantis blue"", ""red red wine"", ""chocolate fondue""]"
"[""euro gray"", ""devonwood taupe"", ""naples yellow"", ""dried thyme"", ""artful magenta"", ""insightful rose"", ""grey teal"", ""quiet storm"", ""blue jewel"", ""dark lilac"", ""fossil stone"", ""white marigold"", ""grape juice"", ""lump of coal"", ""pebble stone"", ""guppie green"", ""bouquet"", ""gulf shores"", ""red oxide"", ""vanilla cream""]"
"[""dingley"", ""gypsy red"", ""summer festival"", ""country lake"", ""oasis blue"", ""nesting dove"", ""dreamcatcher"", ""spring glow"", ""yuma"", ""moroccan ruby"", ""life at sea"", ""rain washed"", ""carolina gull"", ""new colonial yellow"", ""calypso green"", ""vintner"", ""lavender haze"", ""puce"", ""jet black"", ""koromiko""]"
"[""beta fish"", ""bistre"", ""elegant ivory"", ""tea room"", ""pink elephant"", ""harlequin green"", ""tranquil"", ""lucky charm green"", ""dense shrub"", ""foxen"", ""beeswax"", ""windrift beige"", ""pediment"", ""welcome white"", ""yarmouth blue"", ""rosy peach"", ""heavy sugar"", ""pebbled path"", ""sonata"", ""spiced red""]"
"[""black bamboo"", ""wet cement"", ""alexandrite"", ""natural cream"", ""green meets blue"", ""magenta haze"", ""wool tweed"", ""chelsea cucumber"", ""berry jam"", ""onyx white"", ""rock garden"", ""princess perfume"", ""familiar beige"", ""row house tan"", ""california blue"", ""ebony king"", ""lite cocoa"", ""yellow roses"", ""mango madness"", ""blackbird""]"
"[""french violet"", ""orinoco"", ""deep red"", ""dark turquoise"", ""millington gold"", ""blue suede shoes"", ""chrysanthemum"", ""baize green"", ""casi rosa"", ""ansonia peach"", ""desert shadows"", ""artisan tea"", ""enchanted"", ""bramble bush"", ""matisse"", ""kobe"", ""pale aqua"", ""amazon soil"", ""royal flush"", ""red river clay""]"
"[""barley field"", ""pot pourri"", ""apples and pears"", ""bangladesh green"", ""briquette"", ""bohemianism"", ""sandy hook gray"", ""wildflower"", ""golden aura"", ""sherbet fruit"", ""blair gold"", ""glacier white"", ""tango pink"", ""sandcastle"", ""roman plaster"", ""plymouth green"", ""alert tan"", ""shakespeare tan"", ""blue ice"", ""feather green""]"
"[""at ease"", ""summerwood"", ""dusk"", ""hawthorne green"", ""edgewood rocks"", ""awesome violet"", ""rose pink"", ""seaweed salad"", ""peru"", ""silver screen"", ""pale bamboo"", ""arctic shadows"", ""hunt club brown"", ""stampede"", ""phthalo green"", ""vintage linen"", ""electric indigo"", ""aurora brown"", ""snot green"", ""iron""]"
"[""baked sienna"", ""writing paper"", ""button blue"", ""solar system"", ""terrace taupe"", ""british racing green"", ""soft boiled"", ""swan wing"", ""muted melody"", ""distant shore"", ""original white"", ""neon fuchsia"", ""dusk to dawn"", ""persian blue"", ""ivory paper"", ""muted green"", ""snap pea green"", ""palatinate blue"", ""lap pool blue"", ""dark bronze""]"
"[""bonaparte"", ""enchanted forest"", ""truly taupe"", ""peacock feather"", ""delaware putty"", ""rustic city"", ""valentino"", ""mauve desert"", ""ghost"", ""double chocolate"", ""harbor side teal"", ""silverado trail"", ""shark fin"", ""marsh fern"", ""black elegance"", ""lush grass"", ""cordite"", ""shadow"", ""pomegranate red"", ""jungle trail""]"
"[""torchlight"", ""brown rabbit"", ""hale navy"", ""mayan red"", ""sand drift"", ""blue sage"", ""jamaica bay"", ""sunbeam"", ""heavenly peace"", ""kenyan copper"", ""terracota"", ""sunset beige"", ""douglas fern"", ""tiny fawn"", ""alaskan husky"", ""light aqua"", ""quest gray"", ""shaker beige"", ""spring white"", ""verbena""]"
"[""polished pine"", ""purple brown"", ""light sage"", ""cracked wheat"", ""ice fog"", ""huntington white"", ""genoa"", ""silver ash"", ""meteorite"", ""sweet illusion"", ""aztec lily"", ""polaris blue"", ""hiking trail"", ""mystic pool"", ""electra"", ""shortbread"", ""tuscany"", ""dusting powder"", ""baywood brown"", ""terracotta""]"
"[""soulful music"", ""ancestral"", ""yours truly"", ""chic taupe"", ""hush white"", ""canyon trail"", ""colonial revival tan"", ""rice curry"", ""calypso blue"", ""planter"", ""forest brown"", ""pan tostado"", ""woven straw"", ""somerset white"", ""cockleshell"", ""cliff ridge"", ""driftwood"", ""olive shadow"", ""sharp cheddar"", ""pinkelicious""]"
"[""canton jade"", ""miracle elixir"", ""light maroon"", ""skinny jeans"", ""milk shake"", ""texas rose"", ""lilac blossom"", ""vivid purple"", ""yucatan"", ""hilton head cream"", ""pale green grape"", ""functional gray"", ""rookwood dark red"", ""lively tune"", ""windy seas"", ""millennium silver"", ""stunning"", ""silver shadow"", ""plum rich"", ""baby turtle""]"
"[""sunbath"", ""suntan glow"", ""bloomsberry"", ""grecian ivory"", ""dark lemon lime"", ""cinder"", ""blissful blue"", ""epiphany"", ""mauve bauhaus"", ""rocky creek"", ""lake view"", ""creamy white"", ""mossy bank"", ""meadowlark"", ""coral serenade"", ""semolina"", ""mamey"", ""chain reaction"", ""marquee white"", ""brown""]"
"[""lighthearted pink"", ""moss"", ""dewberry"", ""van deusen blue"", ""tree poppy"", ""meteor"", ""spirit in the sky"", ""bulgarian rose"", ""peas in a pod"", ""silver sateen"", ""cocoa bean"", ""mystic lake"", ""sweet pink"", ""durango blue"", ""deep turquoise"", ""river road"", ""ironbark"", ""dark blue grey"", ""casual khaki"", ""grant beige""]"
"[""ranch acres"", ""raspberry"", ""majestic blue"", ""porter ridge tan"", ""secret path"", ""french pastry"", ""seal brown"", ""american white"", ""spun sugar"", ""gold thread"", ""strawberry rhubarb"", ""asphalt gray"", ""herbal tea"", ""palatinate purple"", ""meteor shower"", ""old brick"", ""feel the energy"", ""pale magenta"", ""chardonnay"", ""indian red""]"
